stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale,pop_weight_media,area_weight_media
21-22,ATS_Bergamo,PM10,2021,46,W46/2021,1,242,23.9725,8.5162,4.2000,35.4286,28.5541,19.6228
21-22,ATS_Bergamo,PM10,2021,47,W47/2021,2,242,17.5672,6.9401,3.3286,26.4000,21.4819,14.2158
21-22,ATS_Bergamo,PM10,2021,48,W48/2021,3,242,19.5138,10.6953,1.9714,35.9429,25.3064,15.1801
21-22,ATS_Bergamo,PM10,2021,49,W49/2021,4,242,19.2634,12.5273,1.4857,42.1000,25.5119,14.7950
21-22,ATS_Bergamo,PM10,2021,50,W50/2021,5,242,32.5401,17.7686,1.9429,61.2857,41.8500,24.9863
21-22,ATS_Bergamo,PM10,2021,51,W51/2021,6,242,36.4620,17.6703,3.8429,61.3286,46.6263,28.1384
21-22,ATS_Bergamo,PM10,2021,52,W52/2021,7,242,30.5209,16.1826,2.3714,53.3429,39.8719,23.2797
21-22,ATS_Bergamo,PM10,2022,1,W01/2022,8,242,23.7265,12.4879,2.1857,39.0000,30.8056,18.3721
21-22,ATS_Bergamo,PM10,2022,2,W02/2022,9,242,28.9986,15.8449,2.6286,59.7857,36.7342,22.9187
21-22,ATS_Bergamo,PM10,2022,3,W03/2022,10,242,39.2049,22.0734,3.4571,68.2714,51.3205,30.2766
21-22,ATS_Bergamo,PM10,2022,4,W04/2022,11,242,37.1011,18.7296,2.7857,59.1714,47.9780,28.7902
21-22,ATS_Bergamo,PM10,2022,5,W05/2022,12,242,28.4969,14.2923,3.7714,45.3857,36.5632,22.5237
21-22,ATS_Bergamo,PM10,2022,6,W06/2022,13,242,23.2749,11.3379,3.8857,41.5000,29.3119,19.1973
21-22,ATS_Bergamo,PM10,2022,7,W07/2022,14,242,29.0110,16.6429,2.7000,52.2143,38.0932,22.5583
21-22,ATS_Bergamo,PM10,2022,8,W08/2022,15,242,16.9770,7.6637,3.4143,30.3714,20.8611,13.8776
21-22,ATS_Bergamo,PM10,2022,9,W09/2022,16,242,27.3182,9.6355,6.1000,40.5429,32.1696,23.2140
21-22,ATS_Bergamo,PM10,2022,10,W10/2022,17,242,29.7632,10.3528,8.5429,45.4143,34.8640,25.6137
21-22,ATS_Bergamo,PM10,2022,11,W11/2022,18,242,33.5626,13.4246,7.3286,51.4714,40.5483,28.2561
21-22,ATS_Bergamo,PM10,2022,12,W12/2022,19,242,31.0819,12.6613,9.2857,55.1857,37.0733,26.5356
21-22,ATS_Bergamo,PM10,2022,13,W13/2022,20,242,23.3056,9.7439,5.1714,35.2571,28.5634,19.4225
21-22,ATS_Bergamo,PM10,2022,14,W14/2022,21,242,17.8277,7.0429,3.8429,27.4857,21.3968,15.1493
21-22,ATS_Bergamo,PM10,2022,15,W15/2022,22,242,20.9831,6.3576,6.9714,30.0286,24.2329,18.4452
