stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale
23-24,ATS_Montagna,PM10,2023,46,W46/2023,1,134,4.6693,2.7898,1.6429,20.0286
23-24,ATS_Montagna,PM10,2023,47,W47/2023,2,134,5.0262,3.2264,2.1000,24.5857
23-24,ATS_Montagna,PM10,2023,48,W48/2023,3,134,5.6009,3.3831,1.1429,19.3571
23-24,ATS_Montagna,PM10,2023,49,W49/2023,4,134,8.1077,5.4336,1.1714,32.7286
23-24,ATS_Montagna,PM10,2023,50,W50/2023,5,134,6.3804,4.1536,1.5714,27.8857
23-24,ATS_Montagna,PM10,2023,51,W51/2023,6,134,6.5013,4.3574,1.8571,30.2571
23-24,ATS_Montagna,PM10,2023,52,W52/2023,7,134,10.7198,6.8737,1.9143,44.9571
23-24,ATS_Montagna,PM10,2024,1,W01/2024,8,134,5.5784,4.1099,0.8286,21.5857
23-24,ATS_Montagna,PM10,2024,2,W02/2024,9,134,11.1784,7.5615,2.0857,40.3000
23-24,ATS_Montagna,PM10,2024,3,W03/2024,10,134,8.2271,5.1104,1.9000,25.3714
23-24,ATS_Montagna,PM10,2024,4,W04/2024,11,134,7.3912,5.0625,1.6571,25.8429
23-24,ATS_Montagna,PM10,2024,5,W05/2024,12,134,12.2691,7.1808,3.0857,42.4143
23-24,ATS_Montagna,PM10,2024,6,W06/2024,13,134,6.9404,4.8168,1.5571,28.7000
23-24,ATS_Montagna,PM10,2024,7,W07/2024,14,134,11.6604,6.4858,1.7429,37.8000
23-24,ATS_Montagna,PM10,2024,8,W08/2024,15,134,5.8313,3.5581,1.4429,22.3714
23-24,ATS_Montagna,PM10,2024,9,W09/2024,16,134,3.9612,1.9730,1.3571,11.6000
23-24,ATS_Montagna,PM10,2024,10,W10/2024,17,134,4.2123,1.6956,1.5571,10.2714
23-24,ATS_Montagna,PM10,2024,11,W11/2024,18,134,5.1753,2.2514,1.7143,14.3857
23-24,ATS_Montagna,PM10,2024,12,W12/2024,19,134,6.5845,2.5309,2.1714,14.3000
23-24,ATS_Montagna,PM10,2024,13,W13/2024,20,134,5.1481,2.3541,2.1714,13.8857
23-24,ATS_Montagna,PM10,2024,14,W14/2024,21,134,4.0780,1.5661,1.3857,9.0286
23-24,ATS_Montagna,PM10,2024,15,W15/2024,22,134,6.8263,2.2959,2.5000,13.0286
