stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale
25-26,ATS_Montagna,PM25,2025,46,W46/2025,1,134,9.6591,5.8729,1.3200,27.0200
25-26,ATS_Montagna,PM25,2025,47,W47/2025,2,134,4.7818,2.4845,1.1571,14.6714
25-26,ATS_Montagna,PM25,2025,48,W48/2025,3,134,6.4011,3.7027,1.2333,18.6000
25-26,ATS_Montagna,PM25,2025,49,W49/2025,4,134,8.6852,6.5461,1.0000,30.4750
25-26,ATS_Montagna,PM25,2025,50,W50/2025,5,134,11.5165,7.6659,0.8333,34.7000
25-26,ATS_Montagna,PM25,2025,51,W51/2025,6,134,11.5551,8.2807,1.8500,40.2000
25-26,ATS_Montagna,PM25,2025,52,W52/2025,7,134,8.4905,5.8994,1.4571,27.2167
25-26,ATS_Montagna,PM25,2026,1,W01/2026,8,134,8.6446,5.4568,1.7600,28.9600
25-26,ATS_Montagna,PM25,2026,2,W02/2026,9,134,6.8642,4.7196,1.3000,25.7667
25-26,ATS_Montagna,PM25,2026,3,W03/2026,10,134,9.8593,7.9560,1.3500,43.8667
25-26,ATS_Montagna,PM25,2026,4,W04/2026,11,134,11.4800,7.2299,1.8000,37.2000
25-26,ATS_Montagna,PM25,2026,5,W05/2026,12,134,5.9222,4.0510,0.7857,20.6714
25-26,ATS_Montagna,PM25,2026,6,W06/2026,13,134,6.6427,4.2937,1.0750,22.1250
25-26,ATS_Montagna,PM25,2026,7,W07/2026,14,134,4.3169,3.0561,0.9000,16.7400
25-26,ATS_Montagna,PM25,2026,8,W08/2026,15,134,3.7746,2.5594,1.1500,13.3600
25-26,ATS_Montagna,PM25,2026,9,W09/2026,16,134,15.5890,6.5789,3.2600,30.6333
25-26,ATS_Montagna,PM25,2026,10,W10/2026,17,134,11.5734,5.3596,3.2000,27.7500
25-26,ATS_Montagna,PM25,2026,11,W11/2026,18,134,7.5448,3.7069,2.0200,19.0167
25-26,ATS_Montagna,PM25,2026,12,W12/2026,19,134,5.7527,2.0242,2.3429,12.3857
25-26,ATS_Montagna,PM25,2026,13,W13/2026,20,134,3.9315,1.3224,2.0200,8.3000
25-26,ATS_Montagna,PM25,2026,14,W14/2026,21,134,3.4653,1.6384,1.7000,9.4000
25-26,ATS_Montagna,PM25,2026,15,W15/2026,22,134,7.1995,2.8752,2.7500,17.1750
